feature,importance
overall,485
club_budget,726
stats_position_1,124
mentality_penalties,66
age,246
league_name_Saudi Abdul L. Jameel League ,24
league_name_Chinese Super League ,11
shooting,55
power_long_shots,55
nationality_median_wage,42
gk_positioning,5
movement_agility,39
gk_reflexes,16
goalkeeping_kicking,42
league_name_Portuguese Liga ZON SAGRES ,12
attacking_short_passing,60
mentality_positioning,68
physic,55
mentality_composure,72
height_cm,125
international_reputation,15
league_name_English League Two ,10
league_name_English League Championship ,31
attacking_volleys,55
league_name_Italian Serie A ,19
attacking_finishing,89
skill_ball_control,43
years_playing_for_current_club,97
goalkeeping_handling,41
league_name_German 1. Bundesliga ,12
team_position_LB,2
league_name_Spain Primera Division ,16
dribbling,37
bmi,88
passing,48
league_name_Australian Hyundai A-League ,4
grouped_player_position_Forward,7
power_stamina,60
league_name_Mexican Liga MX ,17
attacking_heading_accuracy,50
contract_valid_until,27
power_shot_power,69
movement_sprint_speed,48
league_name_French Ligue 1 ,16
mentality_vision,51
potential,72
defending_marking,53
team_position_LW,4
movement_balance,48
defending_standing_tackle,32
movement_reactions,60
league_name_English Premier League ,18
league_name_Turkish Süper Lig ,11
attacking_crossing,54
defending,64
league_name_Campeonato Brasileiro Série A ,11
goalkeeping_reflexes,40
league_name_Holland Eredivisie ,7
league_name_Scottish Premiership ,11
pace,55
skill_dribbling,25
goalkeeping_diving,66
goalkeeping_positioning,46
skill_curve,33
league_name_Swiss Super League ,9
stats_position_2,33
power_jumping,68
weight_kg,39
mentality_aggression,60
power_strength,38
league_name_Austrian Football Bundesliga ,10
mentality_interceptions,40
defending_sliding_tackle,36
skill_fk_accuracy,46
league_name_Spanish Segunda División ,6
league_name_USA Major League Soccer ,7
league_name_Danish Superliga ,8
stats_position_3,10
team_position_SUB,12
league_name_Argentina Primera División  ,7
body_type_Lean,3
attacking_work_rate,9
team_position_RES,9
skill_long_passing,33
skill_moves,6
weak_foot,7
grouped_player_position_Midfielder,4
movement_acceleration,37
league_name_Italian Serie B ,7
team_position_RB,2
league_name_English League One ,6
defensive_work_rate,8
body_type_Normal,8
league_name_Colombian Liga Postobón ,4
gk_handling,7
gk_diving,5
team_position_LS,6
league_name_Belgian Jupiler Pro League ,11
team_position_RS,2
league_name_German 2. Bundesliga ,9
preferred_foot,7
league_name_Japanese J. League Division 1 ,2
positions_length,15
team_position_RM,6
team_position_CAM,2
gk_kicking,1
league_name_French Ligue 2 ,3
team_position_LM,2
league_name_Romanian Liga I ,3
grouped_player_position_Defender,2
gk_speed,1
team_position_CDM,1
league_name_Korean K League Classic ,2
team_position_RW,2
team_position_ST,1
league_name_Chilian Campeonato Nacional ,1
loaned,2
team_position_RCB,1
team_position_CB,1
